simplified,traditional,pinyin,meaning,frequency,hsk_level,pos,radical
来得及,來得及,lái de jí,to have enough time; can do it in time; can still make it,6981,4,v,木
来电,來電,lái diàn,"(of electricity, after an outage) to come back ; incoming telephone call (or telegram) ; to have an instant attraction to sb ; to phone in; to send in a telegram",6283,7,"v,n",木
来访,來訪,lái fǎng,to pay a visit,8891,7,"v,vn",木
来回,來回,lái huí,back and forth ; repeatedly ; return journey ; to and fro ; to make a round trip,7107,7,"v,n,d",木
来历,來歷,lái lì,antecedents ; history ; origin,14129,7,n,木
来临,來臨,lái lín,to approach; to come closer,4633,7,"v,vn",木
来龙去脉,來龍去脈,lái lóng qù mài,(fig.) the whole sequence of events ; causes and effects ; the rise and fall of the terrain (idiom),22644,7,l,木
来年,來年,lái nián,next year ; the coming year,22086,7,t,木
来往,來往,lái wǎng,to be in relation with ; to come and go ; to have dealings with,8734,6,"v,vn",木
来信,來信,lái xìn,incoming letter ; to send us a letter,6973,5,"n,v",木
来源,來源,lái yuán,origin ; source (of information etc),2383,4,n,木
来源于,來源於,lái yuán yú,to originate in,11195,7,v,木
来自,來自,lái zì,From: (in email header) ; to come from (a place),644,2,v,木
赖,賴 | 頼,Lài | lài,(Tw) (coll.) LINE messaging app ; bad ; rascally ; surname Lai ; to blame ; to depend on ; to disclaim ; to hang on in a place ; to put the blame on ; to rat (on debts) ; to renege (on promise) ; variant of 赖,5777,6,"v,a",贝
拦,攔,lán,to block sb's path ; to flag down (a taxi) ; to obstruct,5693,7,"v,vn",扌
栏,欄,lán,column or box (of text or other data) ; fence ; hurdle ; railing,7178,7,n,木
栏杆,欄杆,lán gān,banister ; railing,13569,7,n,木
栏目,欄目,lán mù,program (TV or radio) ; regular column or segment (in a publication or broadcast program),12813,6,n,木
蓝,藍,Lán | lán,blue ; indigo plant ; surname Lan,1615,2,"a,g",艹
蓝领,藍領,lán lǐng,blue-collar ; blue-collar worker,30180,6,b,艹
蓝色,藍色,lán sè,blue (color),2892,2,n,艹
蓝天,藍天,lán tiān,blue sky,11048,6,n,艹
蓝图,藍圖,lán tú,blueprint,13313,7,n,艹
篮球,籃球,lán qiú,basketball,3596,2,n,⺮
揽,攬,lǎn,to fasten (with a rope etc) ; to monopolize; to seize ; to take into one's arms; to embrace ; to take on (responsibility etc); to canvass,12258,7,v,扌
缆车,纜車,lǎn chē,cable car,26207,7,n,纟
懒,嬾 | 懶,lǎn,lazy ; variant of 懒,6238,6,a,忄
懒得,懶得,lǎn dé,not to feel like (doing sth); disinclined to,8500,7,v,忄
懒惰,懶惰,lǎn duò,idle ; lazy,13267,7,a,忄
烂,爛,làn,chaotic; messy ; crappy; bad ; rotten ; soft; mushy ; to rot; to decompose ; utterly; thoroughly ; well-cooked and soft ; worn out,2387,5,"a,v",火
滥用,濫用,làn yòng,to abuse ; to misuse,8841,7,"v,vn",氵
狼,狼,láng,wolf,2421,7,n,犭
狼狈,狼狽,láng bèi,in a difficult situation ; scoundrel! (derog.) ; to cut a sorry figure,16266,7,"an,ad",犭
朗读,朗讀,lǎng dú,to read aloud,18517,5,v,月
朗诵,朗誦,lǎng sòng,to declaim ; to read aloud with expression ; to recite,18524,7,"v,vn",月
浪,浪,làng,breaker ; dissipated ; to ramble ; to stroll ; unrestrained ; wave,4269,7,"n,g",氵
浪费,浪費,làng fèi,to squander ; to waste,1924,3,"v,vn",氵
浪漫,浪漫,làng màn,romantic,2439,5,"a,an",氵
捞,撈,lāo,to dredge up ; to fish up,5566,7,v,扌
劳动,勞動,láo dòng,physical labor ; toil ; work,4748,5,"vn,v",力
劳动力,勞動力,láo dòng lì,labor force ; manpower,12496,7,n,力
劳累,勞累,láo lèi,exhausted ; tired ; to toil ; worn out,15272,7,"a,an,ad",力
劳务,勞務,láo wù,"service (work done for money) ; services (as in ""goods and services"")",20517,7,n,力
牢,牢,láo,firm ; fold (for animals) ; prison ; sacrifice ; sturdy,6012,6,"a,g",牛
牢固,牢固,láo gù,firm ; secure,11270,7,a,牛
牢记,牢記,láo jì,to keep in mind ; to remember,12490,7,v,牛
牢牢,牢牢,láo láo,firmly ; safely,9553,7,d,牛
唠叨,嘮叨,láo dao,garrulous ; nagging ; to chatter away ; to nag ; to prattle,10247,7,"v,vn",口
老,老,lǎo,(of meat etc) tough ; all the time ; always ; experienced ; of long standing ; of the past ; old (of people) ; outdated ; prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity ; venerable (person) ; very,266,1,"a,d,g",老
老百姓,老百姓,lǎo bǎi xìng,"ordinary people ; the ""person in the street""",7618,3,n,老
老板,老板 | 老闆,Lǎo bǎn | lǎo bǎn,Robam (brand) ; boss ; business proprietor ; variant of 老板,1185,3,n,老
老伴儿,老伴兒,lǎo bàn r,(coll.) (of an old couple) husband or wife ; erhua variant of 老伴,60338,7,n,老
老大,老大,lǎo dà,boss ; captain of a boat ; eldest child in a family ; leader of a criminal gang ; leader of a group ; old age ; very,3298,7,n,老
老公,老公,lǎo gong | lǎo gōng,(coll.) eunuch ; (coll.) husband ; see also 公,2319,4,n,老
老汉,老漢,lǎo hàn,I (an old man referring to himself) ; old man,26984,7,n,老
老化,老化,lǎo huà,"(of a person, population or material) to age ; (of knowledge) to become outdated",12970,7,"v,vn",老
老家,老家,lǎo jiā,home state or region ; native place ; place of origin,6410,4,n,老
老年,老年,lǎo nián,autumn of one's years ; elderly ; old age,8396,2,"t,n",老
老朋友,老朋友,lǎo péng you,(slang) period ; menstruation ; old friend,7500,2,n,老
老婆,老婆,lǎo pó,(coll.) wife,1565,4,n,老
老人,老人,lǎo rén,old man or woman ; one's aged parents or grandparents ; the elderly,2395,1,n,老
老人家,老人家,lǎo rén jiā,polite term for old woman or man,8629,7,n,老
老师,老師,lǎo shī,teacher,799,1,n,老
老实,老實,lǎo shi,honest; sincere ; naive; gullible ; well-behaved,5167,4,"ad,a",老
老实说,老實說,lǎo shí shuō,"honestly speaking; to be frank, ...",22207,7,,老
老是,老是,lǎo shi,always,5562,2,d,老
老太太,老太太,lǎo tài tai,elderly lady (respectful) ; esteemed mother,7407,3,n,老
老头儿,老頭兒,lǎo tóu r,see 老头子,21642,3,n,老
老乡,老鄉,lǎo xiāng,fellow townsman; fellow villager; sb from the same hometown,14936,6,n,老
老远,老遠,lǎo yuǎn,very far away,12250,7,d,老
老字号,老字號,lǎo zì hào,"shop, firm, or brand of merchandise with a long-established reputation",30827,7,n,老
姥姥,姥姥,lǎo lao,(coll.) mother's mother ; maternal grandmother,12173,7,n,女
姥爷,姥爺,lǎo ye,maternal grandfather (dialectal),27327,7,n,女
潦草,潦草,liáo cǎo,(of handwriting) scrawly; illegible ; slipshod; careless; slovenly,48109,7,a,氵
涝,澇,lào,flooded,53537,7,v,氵
乐,樂,Lè | Yuè | lè | yuè,cheerful ; happy ; music ; surname Le ; surname Yue ; to laugh,1572,3,"a,g,v,ad,an",丿
乐队,樂隊,yuè duì,band ; pop group,3860,3,n,丿
乐观,樂觀,lè guān,hopeful ; optimistic,4002,3,"a,an",丿
乐器,樂器,yuè qì,musical instrument,9468,7,n,丿
乐曲,樂曲,yuè qǔ,musical composition,16970,6,n,丿
乐趣,樂趣,lè qù,delight; pleasure; joy,4402,4,n,丿
乐意,樂意,lè yì,content ; satisfied ; to be happy to do sth ; to be ready to do sth ; to be willing to do sth,6221,7,v,丿
乐园,樂園,lè yuán,paradise,6591,7,n,丿
了,了 | 瞭,le | liào | liǎo,"(completed action marker) ; (modal particle indicating change of state, situation now) ; (modal particle intensifying preceding clause) ; (of eyes) bright ; clear-sighted ; to achieve ; to finish ; to understand clearly ; unofficial variant of 瞭 ; variant of 了",3,1,"y,u,v",亅
了不起,了不起,liǎo bu qǐ,amazing ; extraordinary ; terrific,5874,4,a,亅
了结,了結,liǎo jié,to conclude ; to finish ; to settle ; to wind up,10105,7,v,亅
了解,了解 | 瞭解,liǎo jiě,to find out ; to realize ; to understand,336,4,"v,vn",亅
了却,了卻,liǎo què,to resolve ; to settle,29733,7,v,亅
勒,勒,lè | lēi,"(literary) to command ; (physics) abbr. for 斯, lux ; bridle ; to bind ; to carve ; to compel ; to engrave ; to force ; to lead ; to rein in ; to strap tightly",2605,7,v,力
雷同,雷同,léi tóng,identical ; mirroring others,27498,7,"v,vn",雨
泪,淚,lèi,tears,5719,4,n,氵
泪水,淚水,lèi shuǐ,teardrop ; tears,7812,4,n,氵
类,類,lèi,category ; class ; kind ; like ; similar ; to resemble ; type,1096,3,"q,n,g",大
类别,類別,lèi bié,category ; classification,16163,7,n,大
类似,類似,lèi sì,analogous ; similar,2276,3,"a,v",大
类型,類型,lèi xíng,(computer programming) type ; type; kind; category,2598,4,n,大
累,累 | 纍,Léi | lèi | léi | lěi,continuous ; repeated ; rope ; surname Lei ; tired ; to accumulate ; to bind together ; to involve or implicate (Taiwan pr. [lèi]) ; to strain ; to twist around ; to wear out ; to work hard ; weary,1197,1,"a,v,an",糸
累积,累積,lěi jī,to accumulate,13573,7,"v,vn",糸
累计,累計,lěi jì,cumulative ; in total ; to calculate the running total ; total,17303,7,v,糸
棱角,稜角,léng jiǎo,craggy ; edge and corner ; protrusion ; ridge corner ; sharpness (of a protrusion),24425,7,n,木
冷,冷,Lěng | lěng,cold ; surname Leng,1027,1,"a,ad,g",冫
冷淡,冷淡,lěng dàn,cold ; indifferent,12345,7,"a,v",冫
冷冻,冷凍,lěng dòng,to deep-freeze ; to freeze,9324,7,"v,vn",冫
冷静,冷靜,lěng jìng,(of a place) deserted; quiet ; calm; cool-headed; dispassionate,2908,4,"a,ad,an",冫
冷酷,冷酷,lěng kù,unfeeling; callous,11816,7,"a,an",冫
冷酷无情,冷酷無情,lěng kù wú qíng,cold-hearted; unfeeling; callous,49756,7,,冫
冷落,冷落,lěng luò,desolate ; to cold shoulder ; to snub ; to treat sb coldly ; unfrequented,16953,7,"v,a,vn,an",冫
冷门,冷門,lěng mén,"a neglected branch (of arts, science, sports etc) ; fig. a complete unknown who wins a competition",20016,7,n,冫
冷漠,冷漠,lěng mò,cold and detached towards sb ; indifference ; lack of regard ; neglect,7750,7,"a,an",冫
冷气,冷氣,lěng qì,air conditioning (Tw),23852,6,n,冫
冷水,冷水,lěng shuǐ,cold water ; fig. not yet ready (of plans) ; unboiled water,12054,6,n,冫
冷笑,冷笑,lěng xiào,"bitter, grim, sarcastic or angry smile ; grin of dissatisfaction (bitterness, helplessness, indignation etc) ; to laugh grimly ; to sneer",12056,7,v,冫
冷战,冷戰,Lěng zhàn | lěng zhan | lěng zhàn,(US-Soviet) Cold War ; (coll.) shiver ; (fig.) strained relationship ; cold war ; shudder ; to be barely on speaking terms,10942,7,n,冫
愣,愣,lèng,(coll.) unexpectedly ; blank ; distracted ; rash ; rashly ; to look distracted ; to stare blankly,11493,7,"v,g",忄
厘米,釐米,lí mǐ,centimeter,23825,4,q,厂
离,离 | 離,Lí | chī | lí,"(in giving distances) from ; independent of ; mythical beast (archaic) ; one of the Eight Trigrams 卦, symbolizing fire ; surname Li ; to be away from ; to leave ; to part from ; without (sth) ; ☲",912,2,"v,p",禸
离不开,離不開,lí bu kāi,inevitably linked to ; inseparable,8817,4,v,禸
离婚,離婚,lí hūn,to divorce,2723,3,"v,vn",禸
离开,離開,lí kāi,to depart; to leave,557,2,v,禸
离谱儿,離譜兒,lí pǔr5,Scientific,1000000,7,,禸
离奇,離奇,lí qí,odd; bizarre,13073,7,"a,an",禸
离职,離職,lí zhí,to leave one's job temporarily (e.g. for study) ; to leave one's job; to resign,12191,7,v,禸
梨,梨,lí,pear,7831,5,n,木
黎明,黎明,lí míng,dawn; daybreak,8587,7,t,黍
礼,禮,Lǐ | lǐ,"abbr. for 礼记, Classic of Rites ; ceremony ; courtesy ; etiquette ; gift ; propriety ; rite ; surname Li",2414,5,"n,g",礻
礼拜,禮拜,lǐ bài,(coll.) Sunday ; (coll.) week ; to attend a religious service,6737,5,n,礻
礼服,禮服,lǐ fú,"ceremonial robe ; formal attire (dinner suit, evening gown etc)",7383,7,n,礻
礼貌,禮貌,lǐ mào,courteous; polite ; courtesy; politeness; manners,6337,5,"an,a,ad",礻
礼品,禮品,lǐ pǐn,gift ; present,9790,7,n,礻
礼堂,禮堂,lǐ táng,assembly hall ; auditorium,15531,6,n,礻
礼物,禮物,lǐ wù,gift; present,1673,2,n,礻
礼仪,禮儀,lǐ yí,ceremony ; etiquette,10234,7,n,礻
里,裏 | 裡 | 里,Lǐ | lǐ,"(Tw) borough, administrative unit between the township 镇 and neighborhood 邻 levels ; Li (surname) ; also written 里 ; ancient administrative unit of 25 families ; inside ; interior ; internal ; li, ancient measure of length, approx. 500 m ; lining ; neighborhood ; variant of 里",75,1,"f,q",里
里边,裡邊,lǐ bian,inside,10810,1,f,里
里程碑,里程碑,lǐ chéng bēi,milestone,16826,7,n,里
里面,裡面,lǐ miàn,also pr. [lǐ mian] ; inside ; interior,648,3,f,里
里头,裡頭,lǐ tou,inside ; interior,9692,2,f,里
理,理,lǐ,grain (of wood) ; inner essence ; intrinsic order ; logic ; natural science (esp. physics) ; reason ; science ; texture ; to handle ; to manage ; to pay attention to ; to put in order ; to run (affairs) ; to tidy up ; truth,1714,6,"v,n",王
理财,理財,lǐ cái,to manage wealth; to manage finances; money management,9621,6,"vn,v",王
理睬,理睬,lǐ cǎi,to heed ; to pay attention to,16350,7,"v,vn",王
理发,理髮,lǐ fà,to cut (sb's) hair; to give (sb) a haircut ; to get a haircut; to have one's hair done,13406,3,"v,vn",王
理会,理會,lǐ huì,to pay attention to ; to take notice of ; to understand,9075,7,v,王
理解,理解,lǐ jiě,to comprehend; to understand,884,3,"v,vn",王
理科,理科,lǐ kē,the sciences (as opposed to the humanities 科),16024,7,n,王
理论,理論,lǐ lùn,theory ; to argue ; to take notice of,1462,3,n,王
理念,理念,lǐ niàn,concept ; idea ; philosophy ; theory,4867,7,n,王
理事,理事,lǐ shì,(literary) to take care of matters ; member of council,19238,7,n,王
理所当然,理所當然,lǐ suǒ dāng rán,as it should be by rights (idiom); proper and to be expected as a matter of course ; inevitable and right,10068,7,l,王
理想,理想,lǐ xiǎng,a dream ; an ideal ; ideal ; perfect,2661,2,"n,a",王
理性,理性,lǐ xìng,rational ; rationality ; reason,5194,7,n,王
理由,理由,lǐ yóu,grounds ; justification ; reason,1280,3,n,王
理直气壮,理直氣壯,lǐ zhí qì zhuàng,in the right and self-confident (idiom); bold and confident with justice on one's side ; just and forceful ; to have the courage of one's convictions,37289,7,l,王
理智,理智,lǐ zhì,intellect ; rational ; rationality ; reason,5215,6,"n,a",王
力,力,Lì | lì,ability ; force ; power ; strength ; strenuously ; surname Li,851,3,"n,g",力
力不从心,力不從心,lì bù cóng xīn,less capable than desirable (idiom); not as strong as one would wish ; the spirit is willing but the flesh is weak,21629,7,v,力
力度,力度,lì dù,(music) dynamics ; efforts ; strength ; vigor,7129,7,n,力
力量,力量,lì liang,force ; power ; strength,900,3,n,力
力气,力氣,lì qi,strength,5156,4,n,力
力求,力求,lì qiú,striving to do one's best ; to make every effort to,15855,7,v,力
力所能及,力所能及,lì suǒ néng jí,as far as one's capabilities extend (idiom); to the best of one's ability ; within one's powers,18286,7,l,力
力争,力爭,lì zhēng,to contend strongly ; to do all one can ; to work hard for,16137,7,v,力
历程,歷程,lì chéng,course ; process,10170,7,n,厂
历届,歷屆,lì jiè,"all previous (meetings, sessions etc)",32173,7,b,厂
历经,歷經,lì jīng,to experience; to go through,12690,7,v,厂
历来,歷來,lì lái,(of) all-time ; always ; throughout (a period of time),17374,7,d,厂
历时,歷時,lì shí,diachronic ; period ; to last ; to take (time),18847,7,v,厂
历史,歷史,lì shǐ,history,882,4,n,厂
厉害,厲害,lì hai,"(of a person) stern ; (of a resemblance) striking ; (of an animal) fierce ; (of bacteria) virulent ; (of liquor or chili pepper) strong ; (used to describe sb or sth that makes a very strong impression, whether favorable or unfavorable) terrible ; amazing ; awesome ; devastating ; harsh ; intense ; outstanding ; severe ; shrewd ; strict ; tough",1925,5,"a,an",厂
立,立,Lì | lì,at once ; immediately ; surname Li ; to draw up ; to establish ; to lay down ; to set up ; to stand,2622,5,v,立
立场,立場,lì chǎng,position ; standpoint,4265,5,n,立
立方,立方,lì fāng,abbr. for 立方体 ; abbr. for 米 ; cube (math.),22390,7,q,立
立方米,立方米,lì fāng mǐ,cubic meter (unit of volume),35946,7,q,立
立功,立功,lì gōng,to distinguish oneself ; to make worthy contributions ; to render meritorious service (one the three imperishables 朽),25337,7,v,立
立即,立即,lì jí,immediately,1862,4,d,立
立交桥,立交橋,lì jiāo qiáo,flyover ; overpass,22789,7,n,立
立刻,立刻,lì kè,at once ; forthwith ; immediate ; prompt ; promptly ; straightway ; thereupon,1875,3,d,立
立体,立體,lì tǐ,solid ; stereoscopic ; three-dimensional,10567,7,"b,d",立
立足,立足,lì zú,to base oneself on ; to be established ; to have a footing ; to stand,14630,7,v,立
利,利,Lì | lì,advantage ; benefit ; favorable ; interest ; profit ; sharp ; surname Li ; to benefit ; to do good to,1239,6,"n,g",刂
利害,利害,lì hai | lì hài,advantages and disadvantages ; capable ; devastating ; fierce ; formidable ; gains and losses ; pros and cons ; serious ; severe ; sharp ; terrible ; tough,20755,7,n,刂
利率,利率,lì lǜ,interest rates,10983,7,n,刂
利润,利潤,lì rùn,profits,3776,5,n,刂
利索,利索,lì suo,nimble,21085,7,"a,ad",刂
利息,利息,lì xī,interest (on a loan),6487,4,n,刂
利益,利益,lì yì,(in sb's) interest ; benefit,2117,4,n,刂
利用,利用,lì yòng,to exploit ; to make use of ; to take advantage of ; to use ; to utilize,766,3,"v,vn",刂
励志,勵志,lì zhì,inspirational; motivational ; to pursue a goal with determination,28471,7,nr,力
例如,例如,lì rú,for example; for instance; such as,3486,2,v,亻
例外,例外,lì wài,exception ; to be an exception,5594,5,"v,n",亻
